交易单号,交易时间,交易类型,收/支/其他,交易方式,金额(元),交易对方,商户单号
1800008142032108,,,,,,,295013006133
1329923801210829101080,,,,,,,
0422263122669611140345,,商户消费,收入,未知,0.30,商户消费收入,917:15:58
1010011781418210,,,,,,,
8297751335284619,,,,,,,
1000050001210829000531,,转账,支出,零钱通,,转账支出零钱通,1209533938140317:07:27
291208736049020,,,,,,,
1800007591292108292815,,零钱通,其他,零钱通,8770.00,转入零钱通,39130115:28:311800007591210829
0118033554537403,,,,,,,
1000050001210829000531,,转账,支出,零钱,,转账支出零钱,1251241576340315:28:07
290208820226476,,,,,,,
1000107101210829000591,,其他,支出,零钱,,扫二维码付,1226693840340315:07:51
2900437026005065,,,,,,,
